deliverable_id,title,output_class,depends_on,recommended_profile,workflow_phase,work_unit_type,start_gate_ids,accept_gate_ids,release_gate_ids,required_portals,required_oracle_suite_id,verification_mode_default,required_evidence_bundle_kinds,budgets_default,stop_triggers_overrides,notes
D-01,Governance hygiene patchset for instance-1 build,record,,,PH-0 Bootstrap,,G-00,G-00,,,,,,,,
D-02,Repository scaffold and workspace layout,candidate,,STRICT-CORE,PH-0 Bootstrap,,G-00,G-30,,,,,,,,
D-03,Continuous integration baseline (build/test/lint),candidate,D-02,STRICT-CORE,PH-0 Bootstrap,,G-00;G-30,G-30,,,,,,,,
D-04,"Local developer tooling (scripts, dev env bootstrap)",candidate,D-02,STRICT-CORE,PH-0 Bootstrap,,G-00;G-30,G-30,,,,,,,,
D-05,Domain model primitives and invariants,candidate,D-02,STRICT-CORE,PH-1 Domain Core,,G-00;G-30,G-30,,,,,,,,
D-06,Deterministic state machines and transition validation,candidate,D-05,STRICT-CORE,PH-1 Domain Core,,G-00;G-30,G-30,,,,,,,,
D-07,Ports and boundary interfaces (domain → adapters),candidate,D-05,STRICT-CORE,PH-1 Domain Core,,G-00;G-30,G-30,,,,,,,,
D-08,Context compilation rules (refs → deterministic context bundle),candidate,"D-06, D-07",STRICT-CORE,PH-1 Domain Core,,G-00;G-30,G-00;G-30,,,,,,,,
D-09,"Postgres schemas and migrations (event store, projections, graph)",candidate,D-02,STRICT-CORE,PH-0 Bootstrap,,G-00;G-30,G-10,,,,,,,,
D-10,EventStore adapter (append-only streams + concurrency control),candidate,"D-07, D-09",STRICT-CORE,PH-2 Persistence+Evidence,,G-00;G-10;G-30,G-10,,,,,,,,
D-11,Projection builder (read models from event streams),candidate,"D-10, D-06",STRICT-CORE,PH-2 Persistence+Evidence,,G-00;G-10;G-30,G-10,,,,,,,,
D-12,Dependency graph projection + staleness traversal,candidate,"D-10, D-09, D-06",STRICT-CORE,PH-2 Persistence+Evidence,,G-00;G-10;G-30,G-15,,,,,,,,
D-13,Outbox publisher and NATS event publication,candidate,D-10,STRICT-CORE,PH-2 Persistence+Evidence,,G-00;G-10,G-10,,,,,,,,
D-14,"Evidence store adapter (MinIO, content-addressed bundles)",candidate,"D-07, D-02",STRICT-CORE,PH-2 Persistence+Evidence,,G-00;G-30,G-20,,,,,,,,
D-15,Evidence manifest v1 library + validation oracle,candidate,D-02,STRICT-CORE,PH-0 Bootstrap,,G-00;G-30,G-20,,,,,,,,
D-16,Restricted evidence handling (Infisical + envelope keys),candidate,D-14,STRICT-CORE,PH-2 Persistence+Evidence,,G-00;G-20,G-20,,,,,,,,
D-17,API service scaffold (Axum) + OIDC auth (Zitadel),candidate,D-02,STRICT-CORE,PH-0 Bootstrap,,G-00;G-30,G-30,,,,,,,,
D-18,"Core API endpoints (loops, iterations, candidates, runs)",candidate,"D-17, D-10, D-06, D-11",STRICT-CORE,PH-4 API+Identity,,G-00;G-10;G-30,G-30,,,,,,,,
D-19,"Governance and portal-related API endpoints (approvals, freezes, exceptions, artifacts)",candidate,"D-18, D-12, D-14",STRICT-CORE,PH-4 API+Identity,,G-00;G-15;G-20;G-30,G-50,,,,,,,,
D-20,"Evidence API (upload, retrieve, associate with runs/candidates)",candidate,"D-14, D-18",STRICT-CORE,PH-4 API+Identity,,G-00;G-20;G-30,G-20,,,,,,,,
D-21,NATS/JetStream messaging integration (contracts + reliability),candidate,D-13,STRICT-CORE,PH-5 Orchestration+UI+Ops,,G-00;G-10,G-10,,,,,,,,
D-22,Loop governor service (SYSTEM event emission + budgets),candidate,"D-21, D-18",STRICT-CORE,PH-5 Orchestration+UI+Ops,,G-00;G-10;G-30,G-40,,,,,,,,
D-23,Reference worker bridge (IterationStarted → context → candidate proposal),candidate,"D-08, D-22, D-20",STRICT-CORE,PH-5 Orchestration+UI+Ops,,G-00;G-20;G-30;G-40,G-10,,,,,,,,
D-24,Oracle runner service (Podman + gVisor),candidate,"D-02, D-14",STRICT-CORE,PH-3 Oracles,,G-00;G-20;G-30,G-20,,,,,,,,
D-25,Core oracle suite implementation (build/unit/schema/lint),candidate,"D-03, D-15",STRICT-CORE,PH-3 Oracles,,G-00;G-20;G-30,G-30,,,,,,,,
D-26,Integration/e2e oracle suite (DB/MinIO/NATS/API/UI),candidate,"D-24, D-25, D-31, D-18, D-28",STRICT-FULL,PH-5 Orchestration+UI+Ops,,G-00;G-20;G-30;G-60,G-31,,,,,,,,
D-27,Oracle integrity checks (TAMPER/GAP/FLAKE/ENV_MISMATCH),candidate,"D-24, D-25",STRICT-CORE,PH-3 Oracles,,G-00;G-20;G-30,G-40,,,,,,,,
D-28,UI scaffold (React) + OIDC login,candidate,"D-02, D-17",STRICT-CORE,PH-5 Orchestration+UI+Ops,,G-00;G-30,G-30,,,,,,,,
D-29,Loop/iteration/candidate views + evidence viewer,candidate,"D-28, D-20, D-18",STRICT-CORE,PH-5 Orchestration+UI+Ops,,G-00;G-20;G-30,G-30,,,,,,,,
D-30,"Portal workflows UI (approvals, exceptions, oracle suite changes)",candidate,"D-29, D-19",STRICT-CORE,PH-5 Orchestration+UI+Ops,,G-00;G-30;G-50,G-50,,,,,,,,
D-31,Self-host deployment stack (compose/podman),candidate,D-02,STRICT-FULL,PH-0 Bootstrap,,G-00;G-30,G-60,,,,,,,,
D-32,"Bootstrap/init scripts (DB, buckets, identity realm, secrets)",candidate,"D-31, D-09, D-16",STRICT-FULL,PH-5 Orchestration+UI+Ops,,G-00;G-10;G-20;G-60,G-60,,,,,,,,
D-33,Operational logging + minimal observability,candidate,"D-17, D-22, D-24",STRICT-CORE,PH-5 Orchestration+UI+Ops,,G-00;G-20;G-30;G-40,G-60,,,,,,,,
D-34,End-to-end harness (happy path),candidate,"D-22, D-23, D-24, D-25, D-19, D-30, D-31",STRICT-FULL,PH-6 E2E+Proof,,G-00;G-10;G-20;G-30;G-40;G-50;G-60,G-70;G-90,,,,,,,,
D-35,End-to-end harness (failure modes: integrity + exception),candidate,"D-34, D-27",STRICT-FULL,PH-6 E2E+Proof,,G-00;G-40;G-70;G-90,G-71,,,,,,,,
D-36,Replayability demonstration (event stream → reconstructed state),candidate,"D-10, D-11, D-34",STRICT-FULL,PH-6 E2E+Proof,,G-00;G-10;G-70;G-90,G-80,,,,,,,,
